x_center,y_center,attempts,makes,fg_pct,pps
130,370,5,1,0.2,0.6
150,370,4,1,0.25,0.75
170,370,3,0,0.0,0.0
190,370,5,0,0.0,0.0
210,370,1,0,0.0,0.0
230,370,2,0,0.0,0.0
250,370,0,0,,
-250,390,0,0,,
-230,390,0,0,,
-210,390,2,0,0.0,0.0
-190,390,5,0,0.0,0.0
-170,390,2,0,0.0,0.0
-150,390,3,0,0.0,0.0
-130,390,2,0,0.0,0.0
-110,390,0,0,,
-90,390,2,0,0.0,0.0
-70,390,0,0,,
-50,390,0,0,,
-30,390,1,0,0.0,0.0
-10,390,3,0,0.0,0.0
10,390,3,0,0.0,0.0
30,390,2,0,0.0,0.0
50,390,0,0,,
70,390,1,0,0.0,0.0
90,390,3,2,0.6667,2.0
110,390,2,0,0.0,0.0
130,390,3,0,0.0,0.0
150,390,3,0,0.0,0.0
170,390,2,0,0.0,0.0
190,390,4,0,0.0,0.0
210,390,5,0,0.0,0.0
230,390,1,0,0.0,0.0
250,390,0,0,,
-250,410,0,0,,
-230,410,0,0,,
-210,410,0,0,,
-190,410,2,0,0.0,0.0
-170,410,0,0,,
-150,410,0,0,,
-130,410,2,0,0.0,0.0
-110,410,3,0,0.0,0.0
-90,410,0,0,,
-70,410,1,0,0.0,0.0
-50,410,1,0,0.0,0.0
-30,410,0,0,,
-10,410,6,1,0.1667,0.5
10,410,3,0,0.0,0.0
30,410,3,0,0.0,0.0
50,410,0,0,,
70,410,0,0,,
90,410,1,0,0.0,0.0
110,410,1,0,0.0,0.0
130,410,3,0,0.0,0.0
150,410,1,0,0.0,0.0
170,410,1,0,0.0,0.0
190,410,1,0,0.0,0.0
210,410,2,0,0.0,0.0
230,410,0,0,,
250,410,0,0,,
-250,430,0,0,,
-230,430,0,0,,
-210,430,0,0,,
-190,430,1,0,0.0,0.0
-170,430,0,0,,
-150,430,0,0,,
-130,430,0,0,,
-110,430,0,0,,
-90,430,0,0,,
-70,430,0,0,,
-50,430,0,0,,
-30,430,0,0,,
-10,430,0,0,,
10,430,0,0,,
30,430,0,0,,
50,430,0,0,,
70,430,0,0,,
90,430,0,0,,
110,430,0,0,,
130,430,0,0,,
150,430,0,0,,
170,430,0,0,,
190,430,0,0,,
210,430,0,0,,
230,430,1,0,0.0,0.0
250,430,0,0,,
