player_id,player_name,comp_rank,comp_player_id,comp_player_name,similarity
101139,CJ Miles,8,1627853,Ryan Arcidiacono,0.9468933663956137
101139,CJ Miles,9,1628960,Grayson Allen,0.9461360160227005
101139,CJ Miles,10,1630541,Moses Moody,0.9450095166992136
101139,CJ Miles,11,1627814,Damion Lee,0.9408640406730503
101139,CJ Miles,12,1629726,Garrison Mathews,0.9405202872893058
101141,Ersan Ilyasova,1,2449,Luis Scola,0.8568214614077799
101141,Ersan Ilyasova,2,1627824,Guerschon Yabusele,0.8311723683637279
101141,Ersan Ilyasova,3,201973,Jonas Jerebko,0.825591744007757
101141,Ersan Ilyasova,4,1630526,Jeremiah Robinson-Earl,0.7903326410514472
101141,Ersan Ilyasova,5,1626171,Bobby Portis,0.7836379400913118
101141,Ersan Ilyasova,6,1626204,Larry Nance Jr.,0.7817468537824371
101141,Ersan Ilyasova,7,1630191,Isaiah Stewart,0.7666692538573833
101141,Ersan Ilyasova,8,203476,Gorgui Dieng,0.7626546098052993
101141,Ersan Ilyasova,9,202693,Markieff Morris,0.7523996114248426
101141,Ersan Ilyasova,10,1629234,Drew Eubanks,0.7502039113030529
101141,Ersan Ilyasova,11,1627746,Skal Labissiere,0.7392334464680238
101141,Ersan Ilyasova,12,1642345,Oso Ighodaro,0.7300653933832572
101145,Monta Ellis,1,1627758,Ron Baker,0.9346814135414608
101145,Monta Ellis,2,203107,Tomas Satoransky,0.9119337228043284
101145,Monta Ellis,3,1629185,Chris Chiozza,0.9105050784821956
101145,Monta Ellis,4,1642264,Stephon Castle,0.9104312691581518
101145,Monta Ellis,5,203798,PJ Hairston,0.9064770024396812
101145,Monta Ellis,6,202709,Cory Joseph,0.9058425114688664
101145,Monta Ellis,7,1627785,Isaiah Whitehead,0.9023474637856677
101145,Monta Ellis,8,203145,Kent Bazemore,0.8982866916912908
101145,Monta Ellis,9,1630181,R.J. Hampton,0.891665241537143
101145,Monta Ellis,10,1630625,Dalano Banton,0.8903532844561008
101145,Monta Ellis,11,1628972,Troy Brown Jr.,0.8874568179788126
101145,Monta Ellis,12,203521,Matthew Dellavedova,0.8864393030119265
101150,Lou Williams,1,203081,Damian Lillard,0.9627945914660914
101150,Lou Williams,2,101108,Chris Paul,0.9532458369953782
101150,Lou Williams,3,1629660,Ty Jerome,0.9483708561322569
101150,Lou Williams,4,1628378,Donovan Mitchell,0.9464956758966312
101150,Lou Williams,5,202689,Kemba Walker,0.9431703974368093
101150,Lou Williams,6,1630193,Immanuel Quickley,0.9356645104415899
101150,Lou Williams,7,1628973,Jalen Brunson,0.9340017413286084
101150,Lou Williams,8,1627750,Jamal Murray,0.8959039185013232
101150,Lou Williams,9,201144,Mike Conley,0.8921455373195027
101150,Lou Williams,10,1629027,Trae Young,0.882654310378885
101150,Lou Williams,11,1629029,Luka Dončić,0.8656084501669996
101150,Lou Williams,12,202738,Isaiah Thomas,0.8511935705032675
101161,Amir Johnson,1,1628436,Luke Kornet,0.9150429009110663
101161,Amir Johnson,2,201580,JaVale McGee,0.8475411174397277
101161,Amir Johnson,3,1627780,Gary Payton II,0.7444513069344715
101161,Amir Johnson,4,203932,Aaron Gordon,0.7390409830544642
101161,Amir Johnson,5,203939,Dwight Powell,0.7278744339612018
101161,Amir Johnson,6,2730,Dwight Howard,0.7202767045384585
101161,Amir Johnson,7,201599,DeAndre Jordan,0.7087806153444405
101161,Amir Johnson,8,1629674,Neemias Queta,0.703331756598121
101161,Amir Johnson,9,1626245,Cristiano Felicio,0.694999919978506
101161,Amir Johnson,10,202355,Hassan Whiteside,0.6921822616890476
101161,Amir Johnson,11,1628467,Maxi Kleber,0.6831516395433709
101161,Amir Johnson,12,1630188,Jalen Smith,0.676992494422921
101162,Marcin Gortat,1,203101,Miles Plumlee,0.9758645561829377
101162,Marcin Gortat,2,1631217,Moussa Diabaté,0.9549807665077688
101162,Marcin Gortat,3,204028,Tarik Black,0.9424579225139752
101162,Marcin Gortat,4,1642867,Collin Murray-Boyles,0.9102254560020827
101162,Marcin Gortat,5,1626195,Willy Hernangomez,0.9089637758762473
101162,Marcin Gortat,6,1630194,Paul Reed,0.9056297032876595
101162,Marcin Gortat,7,203920,Khem Birch,0.8739247386182977
101162,Marcin Gortat,8,1630549,Day'Ron Sharpe,0.8700870468805029
101162,Marcin Gortat,9,1642274,Yves Missi,0.8486621016136041
101162,Marcin Gortat,10,202684,Tristan Thompson,0.8272781684424055
101162,Marcin Gortat,11,1626210,Alan Williams,0.8209389853030347
101162,Marcin Gortat,12,202702,Kenneth Faried,0.8190931284745953
101179,Ronnie Price,1,1642845,VJ Edgecombe,0.8880064189887583
101179,Ronnie Price,2,203463,Ben McLemore,0.8748465710597219
101179,Ronnie Price,3,201945,Gerald Henderson,0.871309282475877
101179,Ronnie Price,4,203484,Kentavious Caldwell-Pope,0.8394240978515709
101179,Ronnie Price,5,201975,Jodie Meeks,0.8153711129045925
101179,Ronnie Price,6,202688,Brandon Knight,0.7954351689294507
101179,Ronnie Price,7,203798,PJ Hairston,0.7845561941028601
101179,Ronnie Price,8,1628989,Kevin Huerter,0.7422690179301009
101179,Ronnie Price,9,1629630,Ja Morant,0.7393800049091906
101179,Ronnie Price,10,1631108,Max Christie,0.7227253390951599
101179,Ronnie Price,11,1629004,Svi Mykhailiuk,0.7200499796756589
101179,Ronnie Price,12,1630182,Josh Green,0.7180499457335597
101181,Jose Calderon,1,201988,Patty Mills,0.9731788956126227
101181,Jose Calderon,2,101139,CJ Miles,0.9711797779320429
101181,Jose Calderon,3,1627777,Georges Niang,0.966338156514078
101181,Jose Calderon,4,202694,Marcus Morris Sr.,0.9653281969896983
101181,Jose Calderon,5,201567,Kevin Love,0.9535878217945659
101181,Jose Calderon,6,1627853,Ryan Arcidiacono,0.9530365282765052
101181,Jose Calderon,7,1629639,Tyler Herro,0.950798937912093
101181,Jose Calderon,8,201143,Al Horford,0.9436717995587652
101181,Jose Calderon,9,203109,Jae Crowder,0.9434386282680376
101181,Jose Calderon,10,1627814,Damion Lee,0.9412216433661409
101181,Jose Calderon,11,1631157,Ryan Rollins,0.9383217407481577
101181,Jose Calderon,12,201980,Danny Green,0.9324049608277868
1495,Tim Duncan,1,202334,Ed Davis,0.9617441879161788
1495,Tim Duncan,2,1628976,Wendell Carter Jr.,0.7874813762348887
1495,Tim Duncan,3,1628389,Bam Adebayo,0.7664415786328291
1495,Tim Duncan,4,101133,Ian Mahinmi,0.7396541118286406
1495,Tim Duncan,5,201941,Jordan Hill,0.7291811411730378
1495,Tim Duncan,6,1628397,Ivan Rabb,0.7153435748028082
1495,Tim Duncan,7,1630209,Omer Yurtseven,0.7004475089315444
1495,Tim Duncan,8,201586,Serge Ibaka,0.6687387941880312
1495,Tim Duncan,9,203943,Noah Vonleh,0.6657741783221826
1495,Tim Duncan,10,201579,Roy Hibbert,0.665131341097724
1495,Tim Duncan,11,201585,Kosta Koufos,0.6604478094799662
1495,Tim Duncan,12,1628981,Bruno Fernando,0.6440912043720539
1626143,Jahlil Okafor,1,203186,Willie Reed,0.8739546643133282
1626143,Jahlil Okafor,2,1628397,Ivan Rabb,0.7820326486423224
1626143,Jahlil Okafor,3,1630549,Day'Ron Sharpe,0.7525283778257068
1626143,Jahlil Okafor,4,101133,Ian Mahinmi,0.7418380345954454
1626143,Jahlil Okafor,5,1628981,Bruno Fernando,0.7279598356788562
1626143,Jahlil Okafor,6,1627734,Domantas Sabonis,0.7243797993302004
1626143,Jahlil Okafor,7,1642875,Maxime Raynaud,0.7203785191318974
1626143,Jahlil Okafor,8,2199,Tyson Chandler,0.7159334548400677
1626143,Jahlil Okafor,9,1630264,Anthony Gill,0.7076152465555445
1626143,Jahlil Okafor,10,1629651,Nic Claxton,0.7075510998499746
1626143,Jahlil Okafor,11,203101,Miles Plumlee,0.7013478266070471
1626143,Jahlil Okafor,12,201585,Kosta Koufos,0.694124658595331
1626144,Emmanuel Mudiay,1,202397,Ish Smith,0.9893863406766568
1626144,Emmanuel Mudiay,2,1630553,Keon Johnson,0.9869893775443793
1626144,Emmanuel Mudiay,3,1630227,Daishen Nix,0.97786486339662
1626144,Emmanuel Mudiay,4,201937,Ricky Rubio,0.9692904330535373
1626144,Emmanuel Mudiay,5,1642347,Jamal Shead,0.9664056760053757
1626144,Emmanuel Mudiay,6,1627739,Kris Dunn,0.9654742787381356
1626144,Emmanuel Mudiay,7,1627755,Tyler Ulis,0.9608284764951875
1626144,Emmanuel Mudiay,8,1630591,Jalen Suggs,0.9580796472218057
1626144,Emmanuel Mudiay,9,1628373,Frank Ntilikina,0.9577993389381912
1626144,Emmanuel Mudiay,10,200765,Rajon Rondo,0.9513243382423564
1626144,Emmanuel Mudiay,11,1630175,Cole Anthony,0.9484022694706555
1626144,Emmanuel Mudiay,12,1628412,Frank Mason III,0.9459839344586999
1626145,Tyus Jones,1,200771,Sergio Rodriguez,0.8614743379023682
