decade,x_center,y_center,attempts,makes,points,fg_pct,pps
2010s,-110,230,12030,4200,12600,0.3491,1.0474
2010s,-90,230,8375,2990,8969,0.3570,1.0709
2010s,-70,230,3984,1396,4165,0.3504,1.0454
2010s,-50,230,1600,597,1704,0.3731,1.0650
2010s,-30,230,883,331,840,0.3749,0.9513
2010s,-10,230,1110,407,914,0.3667,0.8234
2010s,10,230,1422,499,1117,0.3509,0.7855
2010s,30,230,1060,371,948,0.3500,0.8943
2010s,50,230,1790,632,1784,0.3531,0.9966
2010s,70,230,4300,1441,4289,0.3351,0.9974
2010s,90,230,9359,3385,10152,0.3617,1.0847
2010s,110,230,13013,4574,13722,0.3515,1.0545
2010s,130,230,9192,3210,9630,0.3492,1.0477
2010s,150,230,3701,1215,3645,0.3283,0.9849
2010s,170,230,1019,301,903,0.2954,0.8862
2010s,190,230,261,67,201,0.2567,0.7701
2010s,210,230,50,9,27,0.1800,0.5400
2010s,230,230,11,1,3,0.0909,0.2727
2010s,250,230,0,0,0,,
2010s,-250,250,0,0,0,,
2010s,-230,250,4,0,0,0.0000,0.0000
2010s,-210,250,27,7,21,0.2593,0.7778
2010s,-190,250,72,14,42,0.1944,0.5833
2010s,-170,250,295,87,261,0.2949,0.8847
2010s,-150,250,730,206,618,0.2822,0.8466
2010s,-130,250,1531,461,1383,0.3011,0.9033
2010s,-110,250,3305,1079,3237,0.3265,0.9794
2010s,-90,250,5264,1806,5418,0.3431,1.0293
2010s,-70,250,6542,2260,6780,0.3455,1.0364
2010s,-50,250,7222,2542,7626,0.3520,1.0559
2010s,-30,250,6996,2533,7599,0.3621,1.0862
2010s,-10,250,10312,3667,11001,0.3556,1.0668
2010s,10,250,12132,4386,13158,0.3615,1.0846
2010s,30,250,7898,2809,8427,0.3557,1.0670
2010s,50,250,7649,2653,7959,0.3468,1.0405
2010s,70,250,7515,2640,7920,0.3513,1.0539
2010s,90,250,5934,1993,5979,0.3359,1.0076
2010s,110,250,3258,1143,3429,0.3508,1.0525
2010s,130,250,1527,497,1491,0.3255,0.9764
2010s,150,250,645,193,579,0.2992,0.8977
2010s,170,250,258,72,216,0.2791,0.8372
2010s,190,250,75,19,57,0.2533,0.7600
2010s,210,250,21,5,15,0.2381,0.7143
2010s,230,250,6,1,3,0.1667,0.5000
2010s,250,250,1,0,0,0.0000,0.0000
2010s,-250,270,0,0,0,,
2010s,-230,270,3,0,0,0.0000,0.0000
2010s,-210,270,12,3,9,0.2500,0.7500
2010s,-190,270,40,5,15,0.1250,0.3750
2010s,-170,270,98,23,69,0.2347,0.7041
2010s,-150,270,155,33,99,0.2129,0.6387
2010s,-130,270,313,83,249,0.2652,0.7955
2010s,-110,270,490,131,393,0.2673,0.8020
2010s,-90,270,805,254,762,0.3155,0.9466
2010s,-70,270,1151,398,1194,0.3458,1.0374
2010s,-50,270,1695,533,1599,0.3145,0.9434
2010s,-30,270,2406,828,2484,0.3441,1.0324
2010s,-10,270,4036,1423,4269,0.3526,1.0577
2010s,10,270,4547,1546,4638,0.3400,1.0200
2010s,30,270,2366,794,2382,0.3356,1.0068
2010s,50,270,1593,543,1629,0.3409,1.0226
2010s,70,270,1205,374,1122,0.3104,0.9311
2010s,90,270,817,248,744,0.3035,0.9106
2010s,110,270,479,150,450,0.3132,0.9395
2010s,130,270,301,87,261,0.2890,0.8671
