player_id,player_name,season,gp,ppg,ts_pct,headshot_path,headshot_available
1628415,D. Brooks,2025,75,14.04,0.54614,analytics/images/nba/headshots/1628415.png,1
1642449,T. Smith,2025,1,14.0,0.6783,,0
202691,K. Thompson,2025,72,13.9583,0.541872,analytics/images/nba/headshots/202691.png,1
1626171,B. Portis,2025,49,13.8776,0.544945,analytics/images/nba/headshots/1626171.png,1
202699,T. Harris,2025,73,13.726,0.565774,analytics/images/nba/headshots/202699.png,1
1628404,J. Hart,2025,77,13.6494,0.615109,analytics/images/nba/headshots/1628404.png,1
1628386,J. Allen,2025,82,13.4512,0.712229,analytics/images/nba/headshots/1628386.png,1
1630168,O. Okongwu,2025,74,13.3514,0.620345,analytics/images/nba/headshots/1630168.png,1
201566,R. Westbrook,2025,75,13.2533,0.532136,analytics/images/nba/headshots/201566.png,1
1630230,N. Marshall,2025,69,13.2464,0.566233,analytics/images/nba/headshots/1630230.png,1
1629060,R. Hachimura,2025,59,13.1356,0.623836,analytics/images/nba/headshots/1629060.png,1
203471,D. Schröder,2025,75,13.0667,0.524429,analytics/images/nba/headshots/203471.png,1
201572,B. Lopez,2025,80,13.0125,0.621064,analytics/images/nba/headshots/201572.png,1
1642259,A. Sarr,2025,67,12.9701,0.482999,analytics/images/nba/headshots/1642259.png,1
1629021,M. Wagner,2025,30,12.8667,0.631163,analytics/images/nba/headshots/1629021.png,1
1629640,K. Johnson,2025,77,12.7143,0.558332,analytics/images/nba/headshots/1629640.png,1
1627763,M. Brogdon,2025,24,12.7083,0.514029,analytics/images/nba/headshots/1627763.png,1
1630703,S. Henderson,2025,66,12.6818,0.51552,analytics/images/nba/headshots/1630703.png,1
1626156,D. Russell,2025,58,12.6207,0.499091,analytics/images/nba/headshots/1626156.png,1
1642258,Z. Risacher,2025,75,12.56,0.536996,analytics/images/nba/headshots/1642258.png,1
1629660,T. Jerome,2025,70,12.5429,0.629557,analytics/images/nba/headshots/1629660.png,1
1630583,S. Aldama,2025,65,12.4769,0.578342,analytics/images/nba/headshots/1630583.png,1
1631099,K. Murray,2025,76,12.3947,0.539045,analytics/images/nba/headshots/1631099.png,1
1629022,L. Walker IV,2025,20,12.35,0.485585,analytics/images/nba/headshots/1629022.png,1
203084,H. Barnes,2025,82,12.3293,0.623839,analytics/images/nba/headshots/203084.png,1
1641731,B. Coulibaly,2025,59,12.322,0.496963,analytics/images/nba/headshots/1641731.png,1
1630245,A. Dosunmu,2025,46,12.3043,0.584811,analytics/images/nba/headshots/1630245.png,1
1629655,D. Gafford,2025,57,12.2982,0.703588,analytics/images/nba/headshots/1629655.png,1
1631095,J. Smith Jr.,2025,57,12.2456,0.559125,analytics/images/nba/headshots/1631095.png,1
1630183,J. McDaniels,2025,82,12.1951,0.557345,analytics/images/nba/headshots/1630183.png,1
1627747,C. LeVert,2025,64,12.125,0.560789,analytics/images/nba/headshots/1627747.png,1
1631166,D. Timme,2025,9,12.1111,0.5279,,0
1631106,T. Eason,2025,57,12.0351,0.555965,analytics/images/nba/headshots/1631106.png,1
203497,R. Gobert,2025,72,12.0278,0.683664,analytics/images/nba/headshots/203497.png,1
1630598,A. Wiggins,2025,76,12.0263,0.576697,analytics/images/nba/headshots/1630598.png,1
1630174,A. Nesmith,2025,45,12.0222,0.633433,analytics/images/nba/headshots/1630174.png,1
203114,K. Middleton,2025,37,11.8919,0.546789,analytics/images/nba/headshots/203114.png,1
1631105,J. Duren,2025,78,11.7692,0.698886,analytics/images/nba/headshots/1631105.png,1
1641764,B. Podziemski,2025,64,11.6719,0.514164,analytics/images/nba/headshots/1641764.png,1
1628978,D. DiVincenzo,2025,62,11.6613,0.572915,analytics/images/nba/headshots/1628978.png,1
1630557,C. Kispert,2025,61,11.5574,0.564861,analytics/images/nba/headshots/1630557.png,1
1631110,J. Sochan,2025,54,11.4259,0.573504,analytics/images/nba/headshots/1631110.png,1
1641739,T. Camara,2025,78,11.3077,0.562651,analytics/images/nba/headshots/1641739.png,1
1628392,I. Hartenstein,2025,57,11.1754,0.596349,analytics/images/nba/headshots/1628392.png,1
1629018,G. Trent Jr.,2025,74,11.1351,0.581747,analytics/images/nba/headshots/1629018.png,1
1627741,B. Hield,2025,82,11.122,0.528459,analytics/images/nba/headshots/1627741.png,1
201950,J. Holiday,2025,62,11.0645,0.562631,analytics/images/nba/headshots/201950.png,1
1631117,W. Kessler,2025,58,11.0517,0.679557,analytics/images/nba/headshots/1631117.png,1
